chr	start	end	DMSO-1	DMSO-2	DMSO-3	DMSO-CD19-1	DMSO-CD19-2	DMSO-CD19-3	GSK-1	GSK-2	GSK-3	GSK-CD19-1	GSK-CD19-2	GSK-CD19-3	PBMC-1	PBMC-2	PBMC-3	PBMC-CD19-1	PBMC-CD19-2	PBMC-CD19-3
Y	56730538	56730900	414	364	314	0	0	0	235	246	229	472	679	407	302	258	236	677	595	575
Y	56716347	56716676	379	322	336	0	0	0	247	267	259	482	681	348	280	279	248	609	492	463
Y	56705021	56705446	515	487	489	0	0	2	347	388	357	559	836	553	348	357	377	817	755	722
Y	56684266	56684724	476	411	396	0	2	0	306	306	316	549	872	499	346	353	370	761	645	606
Y	56754279	56754607	307	294	253	0	0	0	220	229	210	378	561	357	252	226	387	539	428	441
Y	56674559	56675485	805	772	689	6	2	0	579	574	577	1077	1380	899	626	606	700	1289	1251	1121
Y	56743725	56744210	727	683	610	4	0	2	476	457	488	986	1218	863	613	526	488	1218	1095	1093
Y	56754836	56755356	597	517	490	2	0	2	388	430	392	687	1083	678	455	398	473	971	872	768
Y	56740652	56741060	405	404	374	2	0	0	244	257	279	495	703	406	273	282	306	679	574	581
Y	56677248	56677656	430	390	358	0	2	0	291	253	268	468	710	413	322	273	330	637	554	545
Y	56680232	56680652	583	550	496	0	2	2	407	435	352	665	926	630	454	409	490	931	860	773
6	61322892	61323150	372	348	344	2	4	0	4	2	2	142	216	130	4	2	4	196	154	144
Y	56732938	56733292	359	397	309	0	0	2	318	278	205	442	608	425	312	299	462	636	528	516
Y	56687677	56687974	435	374	368	0	2	0	265	242	235	491	632	431	264	306	233	639	558	573
Y	56694733	56694912	253	256	210	0	0	0	176	190	152	322	384	279	175	200	169	431	425	324
Y	56673274	56673700	363	297	297	2	0	0	220	281	218	422	656	370	263	288	280	624	455	495
Y	56714580	56714800	245	234	221	0	0	0	193	161	198	270	425	244	200	196	169	408	386	378
Y	56740214	56740401	260	155	197	0	0	0	172	111	186	270	421	268	173	153	282	366	330	328
Y	56697831	56698431	741	677	602	6	0	4	457	479	553	866	1166	748	578	510	488	1187	1089	998
Y	56694252	56694531	339	289	288	2	0	0	226	213	185	405	551	369	246	225	172	524	510	449
Y	56697405	56697589	231	217	178	0	0	0	138	155	155	290	366	263	163	160	267	347	340	294
Y	56751545	56751934	466	439	364	2	2	0	342	295	324	525	755	510	306	327	428	730	651	647
Y	56711099	56711265	261	206	182	0	0	0	149	117	144	288	393	210	162	140	155	377	347	311
Y	56743030	56743275	254	195	215	0	0	1	204	193	177	287	491	285	191	231	165	475	460	389
Y	56693222	56693390	202	175	194	0	0	0	165	136	152	243	419	209	182	155	172	362	290	272
Y	56706031	56706225	488	413	359	2	2	0	283	277	264	527	746	462	344	316	287	640	632	596
Y	56688675	56688869	311	305	234	0	0	2	207	196	207	374	485	326	196	210	274	494	399	352
Y	56718779	56718949	227	182	184	0	0	0	158	112	135	230	327	214	172	152	265	316	275	241
Y	56673979	56674172	194	195	160	0	0	0	119	116	147	236	340	248	168	131	256	307	271	261
Y	56734022	56734333	314	299	308	0	0	4	211	222	207	343	583	319	232	261	269	561	445	436
Y	56704478	56704599	175	200	165	0	0	0	130	141	136	245	307	214	157	142	158	273	318	250
Y	56692251	56692433	254	266	256	0	2	0	158	217	195	318	417	258	221	189	243	482	375	362
Y	56711692	56711835	182	173	142	0	0	0	96	132	118	217	362	207	124	128	244	316	276	262
Y	56693657	56693945	295	244	233	2	0	0	185	191	182	310	452	247	195	188	329	429	361	319
Y	56686694	56686947	418	340	327	2	0	2	242	239	247	449	666	413	302	224	422	608	521	507
Y	56747351	56747445	188	180	162	0	0	0	130	127	161	252	313	216	123	114	148	264	295	240
Y	56745794	56746213	840	808	718	4	2	5	528	527	554	1062	1457	832	653	635	518	1403	1174	1245
Y	56734748	56734878	346	270	339	2	0	2	276	230	256	429	590	366	285	261	398	569	516	475
Y	56690963	56691238	343	317	305	2	2	0	267	250	226	429	617	396	295	249	348	564	512	445
Y	56723480	56723573	154	150	137	0	0	0	111	135	124	235	327	195	130	149	143	272	244	242
Y	56737774	56738103	341	336	296	2	2	0	214	289	226	385	616	362	295	264	252	601	562	471
Y	56691755	56691874	181	141	144	0	0	0	132	117	138	225	275	177	142	125	124	268	276	237
Y	56744792	56745261	425	370	329	4	0	2	246	283	295	485	749	369	339	299	221	695	564	569
Y	56759324	56759436	139	164	152	0	0	0	161	114	108	218	268	182	150	138	101	281	279	202
Y	56712257	56712874	643	587	504	2	4	2	382	443	402	690	1008	615	488	387	618	993	859	771
Y	56729440	56729699	329	327	268	0	2	2	233	232	238	459	584	355	252	257	345	547	459	469
Y	56722754	56723058	346	295	272	0	2	2	220	243	261	443	667	427	223	258	214	508	469	470
Y	56737337	56737568	310	276	303	2	0	2	212	203	188	381	481	361	235	253	316	563	486	419
X	131792402	131792666	4	2	3	145	207	175	107	114	124	0	0	2	84	86	182	4	6	12
Y	56762247	56762343	135	120	133	0	0	0	113	126	112	214	264	185	107	103	155	253	250	183
Y	56757983	56758164	191	185	175	2	0	0	143	129	133	225	410	235	171	159	307	377	281	290
Y	56727229	56727401	221	229	202	0	0	2	166	149	174	273	346	209	181	170	118	354	332	274
Y	56679376	56679715	370	348	310	0	2	4	276	237	231	405	589	358	245	260	420	509	453	461
Y	56683741	56684011	367	330	286	0	4	2	197	233	243	415	672	376	268	247	282	578	490	462
20	49617440	49617762	16	10	3	487	542	497	362	404	438	28	11	8	393	393	1926	58	72	6
Y	19567042	19567993	36	69	32	0	0	0	84	79	92	293	241	290	70	77	170	180	183	192
Y	56698687	56698856	196	169	156	0	0	2	149	135	152	282	342	162	167	149	90	370	311	247
Y	56752861	56753055	230	270	226	2	0	2	173	233	153	330	534	296	240	187	286	494	379	395
Y	12904620	12905777	32	42	52	0	0	0	77	66	88	262	285	300	66	46	154	163	180	177
Y	56748883	56748942	130	119	117	0	0	0	72	101	86	140	256	160	112	114	110	219	189	176
Y	56751014	56751163	252	155	150	2	0	0	103	120	122	213	299	234	124	126	250	285	272	198
Y	56708573	56708786	281	262	192	2	2	0	199	188	190	333	448	288	187	206	167	450	379	370
Y	56738702	56738793	190	143	137	0	2	0	131	92	105	197	308	168	128	109	204	246	254	220
Y	56699435	56699534	163	135	151	2	0	0	90	97	107	163	321	147	119	101	185	260	255	183
Y	11534013	11534537	128	137	118	0	0	0	70	60	78	146	197	104	70	61	60	163	144	173
7	60522131	60522491	0	4	0	264	204	224	157	178	169	22	18	12	196	163	76	22	27	10
Y	20575521	20576005	27	30	44	0	0	0	50	58	52	261	210	216	56	36	96	118	149	128
Y	56717209	56717670	448	377	333	8	2	2	318	255	279	534	744	404	357	313	463	644	634	631
X	131822304	131822600	2	2	4	104	123	161	102	83	89	6	10	0	72	74	95	6	0	4
Y	56739042	56739820	649	669	659	14	4	4	455	490	489	914	1263	684	599	535	651	1106	1039	944
7	58708241	58708634	0	6	0	231	188	222	138	132	152	12	16	13	152	138	70	13	13	7
17	43360381	43361595	9	5	12	867	1424	1259	1112	1074	1431	708	550	609	1083	889	1486	379	475	413
Y	56675972	56676821	698	583	589	6	4	10	497	451	499	827	1301	714	557	519	645	1113	1063	939
Y	56729955	56730233	287	297	280	2	2	4	271	228	207	395	569	376	244	237	195	556	464	427
Y	56678013	56678799	1088	1075	1037	16	8	12	751	808	830	1342	1955	1216	863	812	780	1815	1634	1447
Y	56685465	56685956	594	608	560	12	6	4	457	418	433	758	1153	732	497	433	603	1015	966	844
7	58797608	58798137	4	0	7	303	333	353	226	246	277	28	41	32	247	296	92	22	28	17
Y	7273571	7274181	64	54	74	2	0	6	71	115	125	450	390	430	98	82	166	287	226	281
X	131741110	131742299	0	8	6	197	338	254	162	135	175	16	11	22	127	148	220	6	19	8
Y	56750327	56750549	250	235	194	2	2	2	165	141	159	310	413	260	173	173	141	372	374	346
7	58818397	58818968	0	6	7	375	310	327	234	259	246	14	28	30	252	258	72	30	33	32
7	59292097	59292634	3	2	0	256	224	261	194	143	175	21	27	18	185	178	78	24	26	28
Y	11563428	11564006	134	95	95	2	0	0	54	50	60	133	182	85	72	76	58	157	167	164
Y	56756832	56757239	484	431	337	4	6	6	320	309	336	566	854	492	366	347	434	725	641	599
19	26609365	26609670	107	81	75	0	4	0	2	0	4	36	61	44	6	6	2	50	38	49
X	131753192	131753465	0	10	0	62	71	108	39	47	68	2	3	6	46	26	68	4	0	2
Y	56728061	56728436	612	624	530	10	8	6	442	415	466	708	1126	692	556	512	536	982	955	894
11	54236228	54236512	2	9	0	291	228	280	259	253	308	88	142	72	288	306	98	118	113	122
11	54020971	54021413	8	2	0	316	284	278	236	273	264	95	112	81	276	233	68	100	107	81
7	60383142	60383340	0	2	3	193	152	154	123	129	132	8	21	4	129	135	84	18	20	18
X	131704975	131705297	8	0	10	121	214	176	105	112	99	7	16	4	83	68	114	4	4	4
1	123128642	123128791	82	60	58	0	2	0	0	4	10	27	38	16	0	2	2	42	34	35
Y	13479304	13480222	10	20	20	0	0	0	30	34	32	119	108	115	40	12	66	92	78	88
1	109687674	109688006	0	0	0	2	0	0	17	15	22	56	45	50	10	12	20	42	42	46
X	73850969	73851801	10	4	13	276	374	307	230	238	276	16	16	10	229	187	414	36	12	10
Y	7240030	7240510	12	24	18	2	0	0	34	44	51	197	146	148	34	30	86	88	85	120
21	12552006	12552127	49	75	50	0	0	0	8	6	0	32	58	22	2	2	8	43	30	34
X	49331898	49332087	0	0	0	55	49	69	31	30	30	4	4	6	37	71	86	2	4	2
7	59163757	59164116	4	2	12	265	231	278	197	218	193	8	28	6	236	196	56	26	20	12
X	131752531	131752868	0	8	0	64	64	65	56	43	58	2	4	2	44	35	47	8	15	0
7	59199426	59199700	4	0	0	78	92	80	73	71	82	2	16	3	65	58	32	11	12	3
7	59364428	59364850	8	2	5	343	290	305	206	250	277	22	27	10	233	236	82	26	25	18
7	59734491	59735011	2	6	3	373	321	349	222	258	267	23	33	33	207	242	98	33	29	34
X	131792969	131793508	3	2	7	89	110	137	56	60	79	4	0	10	76	52	88	2	8	4
4	189036102	189036327	2	0	0	0	1	0	8	14	28	28	32	33	23	26	76	34	52	34
Y	12662088	12662563	12	20	18	0	0	0	36	42	32	90	103	124	20	16	40	62	80	80
7	58434445	58434721	13	17	3	370	315	336	212	255	275	12	23	7	277	263	142	22	18	17
X	131763647	131764016	7	0	4	99	124	123	103	78	114	4	8	10	84	88	152	7	12	4
X	131778659	131778797	0	0	1	34	38	31	34	19	28	0	0	3	14	22	14	1	0	0
Y	26670336	26671862	548	482	509	8	6	10	287	230	282	616	812	508	240	261	649	774	641	553
11	53353984	53354260	0	2	4	231	176	187	171	146	158	44	56	53	165	158	56	54	60	60
Y	56700980	56701080	126	88	84	2	0	2	62	54	78	118	182	106	54	65	172	150	121	138
4	50206808	50207196	4	8	2	422	356	372	286	332	362	57	86	79	326	388	82	103	78	85
11	52977738	52978043	0	2	2	134	104	124	88	102	96	12	18	6	116	92	14	12	18	8
Y	56724390	56725356	880	832	726	24	18	10	605	583	589	1146	1550	977	657	707	796	1287	1194	1157
4	50830499	50830904	0	6	5	232	220	228	127	264	220	74	53	56	215	198	35	80	68	76
Y	11552425	11553282	63	70	53	0	2	0	34	33	40	88	113	107	44	28	36	91	139	97
Y	56696166	56696625	508	456	384	8	10	10	353	372	357	635	917	570	399	392	441	876	766	661
15	19542990	19543113	0	0	0	29	25	17	26	13	32	0	2	0	22	28	4	1	0	0
14	17720999	17721285	4	2	0	134	100	104	97	84	88	8	13	10	106	101	20	18	4	6
22	38985087	38985434	35	29	32	0	0	0	17	26	32	106	71	110	16	12	66	46	54	49
10	40438379	40438633	37	58	39	0	0	2	2	4	1	24	22	25	2	0	0	16	30	24
1	124133909	124134225	0	0	0	72	80	72	54	64	50	24	24	12	64	42	8	18	10	20
X	56767730	56768548	18	6	13	422	662	605	328	328	376	40	38	18	296	272	668	61	46	58
10	40002930	40003277	64	86	59	10	0	3	2	2	1	38	32	37	7	0	2	26	45	18
4	51210912	51211204	0	0	0	71	52	46	46	70	64	20	14	10	63	52	6	16	32	28
X	28230017	28230359	2	0	0	33	17	36	32	33	37	6	6	0	28	30	0	4	10	0
22	14904604	14904715	0	4	0	36	28	27	22	32	46	6	0	2	46	48	14	2	8	0
15	18256757	18257056	0	0	2	68	45	52	23	46	40	6	10	0	34	48	22	8	2	4
19	25534077	25534225	58	69	62	5	1	0	6	2	3	28	36	27	4	2	0	44	46	27
7	60048751	60049083	4	0	0	48	58	48	27	30	49	0	4	2	24	47	4	4	2	4
5	49009899	49010168	80	100	55	2	1	0	12	4	8	35	36	31	10	0	6	42	34	58
Y	13703548	13703942	20	20	14	0	0	0	16	24	36	96	85	92	22	16	38	60	50	35
7	60061707	60061911	0	0	0	46	26	28	25	28	29	0	2	0	26	20	12	4	2	4
4	50562899	50562990	0	4	0	102	70	91	88	81	105	30	42	24	91	95	74	40	40	43
X	131734678	131734929	4	4	0	49	81	56	43	25	55	4	6	0	46	26	62	2	6	2
X	131816714	131817109	2	0	0	63	68	58	53	48	42	12	2	3	37	44	52	7	6	7
15	19641871	19641976	0	0	0	28	16	14	9	15	17	0	0	0	16	18	18	0	0	0
4	49729598	49729836	2	2	2	196	144	196	129	173	180	70	90	65	147	190	20	72	61	70
13	16688900	16689193	0	0	0	64	46	60	47	62	72	17	20	18	62	59	14	28	26	14
X	56773043	56773950	8	20	10	444	618	635	341	340	438	51	75	22	301	314	578	78	44	36
12	130646040	130646439	13	7	16	598	643	545	400	370	476	108	142	118	487	459	2116	182	126	124
7	59194164	59194463	0	2	2	50	32	38	22	34	28	0	3	0	30	22	6	2	0	7
7	59995505	59996196	12	6	10	440	476	410	302	318	330	28	41	21	313	300	88	41	31	32
Y	11537781	11537936	44	44	36	0	0	0	24	12	20	50	72	34	14	26	46	71	48	62
15	19400071	19400407	0	0	2	34	46	33	28	46	34	2	2	0	28	36	18	4	4	2
21	11807995	11808198	0	0	0	66	30	41	20	44	38	14	0	8	25	36	6	8	20	9
7	58236938	58237140	0	0	2	57	69	79	45	46	65	4	4	4	57	40	10	7	10	10
13	17687444	17687567	59	58	36	0	0	2	0	7	6	22	39	25	12	2	4	44	35	28
X	131729367	131729731	2	4	2	67	103	67	56	45	46	0	8	2	33	35	120	8	8	8
7	60639056	60639210	2	0	2	57	56	51	46	61	48	4	2	2	49	48	48	8	4	4
21	12366844	12367007	0	1	0	56	36	48	40	52	26	2	8	6	48	34	22	10	2	2
X	131711068	131711221	2	2	0	18	35	36	24	16	38	0	0	2	16	27	39	4	0	3
14	16502930	16503068	0	0	2	28	20	29	18	18	24	4	0	2	20	20	0	0	0	2
Y	56770799	56771444	444	428	383	10	10	12	311	274	300	551	801	417	342	364	450	734	658	591
15	19101422	19101528	0	0	0	24	19	17	8	12	15	2	0	0	21	18	0	0	0	0
19	26412813	26413038	2	0	4	141	123	132	86	101	122	36	32	28	119	113	43	40	20	24
7	59206442	59206829	10	2	4	223	183	190	116	164	144	7	28	12	164	136	54	16	16	22
15	19527363	19527675	0	6	4	99	96	83	61	36	66	2	8	4	53	58	26	4	4	9
Y	56763963	56764119	253	226	266	8	8	4	206	214	189	329	473	291	237	239	251	440	389	355
14	17624552	17624721	0	0	2	29	36	50	30	32	36	4	3	6	38	26	30	0	9	2
X	131768309	131768426	2	0	0	36	36	31	27	13	17	0	2	0	23	10	10	2	0	2
19	25328082	25328361	0	0	6	83	90	85	46	74	79	8	24	12	74	66	20	22	16	13
10	40051862	40052291	24	26	31	0	0	0	4	0	0	24	27	10	2	2	0	9	17	11
7	58399538	58399937	4	8	4	116	113	104	62	73	85	12	4	1	104	74	16	6	4	12
10	40861680	40861894	38	21	25	0	2	0	0	0	2	19	13	25	2	0	0	15	4	13
7	59711714	59712148	0	6	2	106	116	135	76	71	108	12	14	10	84	95	20	18	18	16
4	50676758	50677339	10	34	26	1113	1151	1178	836	879	985	370	396	320	961	991	218	452	384	403
7	60542098	60542336	0	1	1	84	40	66	38	54	53	3	6	4	20	28	29	4	5	4
Y	56703354	56703638	408	359	273	12	8	12	266	297	262	495	739	381	329	336	316	695	567	536
4	50566991	50567438	8	14	4	480	391	463	336	368	341	130	122	130	390	403	68	118	130	118
Y	56760379	56760585	277	286	266	22	8	4	225	194	238	378	585	361	267	280	306	527	476	454
14	17809721	17809842	49	43	45	4	0	0	2	3	6	36	44	28	4	2	4	38	30	35
13	17598737	17599005	6	6	8	114	82	126	80	85	104	8	3	2	86	78	18	12	14	2
5	46741394	46741609	32	50	12	0	2	0	0	6	6	18	14	18	12	0	0	28	16	12
X	115847099	115847515	10	22	2	246	355	322	125	130	204	26	17	27	159	108	289	26	21	24
X	131746545	131746917	2	0	3	51	103	86	50	59	30	4	4	4	51	23	60	10	6	8
11	52553785	52554017	0	2	0	46	48	75	64	54	44	8	20	8	52	46	20	6	22	8
4	50880116	50880368	0	4	0	85	65	67	50	68	86	23	30	18	70	59	34	26	34	23
9	43418847	43419017	0	0	0	58	30	36	40	46	32	12	14	7	48	58	14	20	12	12
4	50681442	50681627	1	2	0	64	29	38	25	35	41	17	23	4	59	44	0	18	13	6
7	59501976	59502038	0	0	2	48	20	30	16	17	29	2	8	0	20	16	32	4	6	0
7	60137271	60137550	0	2	0	46	22	21	23	32	22	8	10	2	18	26	16	0	4	0
10	41566376	41566734	4	0	2	61	53	81	56	53	49	2	4	6	64	38	14	6	4	10
4	49810924	49811210	8	4	0	154	140	114	128	126	106	60	54	38	152	151	36	72	58	40
7	59092827	59092947	0	3	0	20	15	30	8	23	25	2	0	0	21	15	6	0	6	0
11	53665484	53665780	4	2	6	134	119	119	91	99	119	15	6	9	99	68	36	26	4	8
Y	9336480	9336882	45	40	17	0	0	0	10	10	16	45	46	38	10	20	24	46	30	46
7	58871211	58871397	0	0	1	26	7	33	16	18	4	0	0	2	20	22	8	2	0	0
7	59432621	59433023	4	5	6	191	133	151	91	109	122	16	12	7	158	104	30	8	16	9
9	60676672	60676808	0	0	0	34	18	28	32	20	34	2	14	14	42	32	2	2	16	6
9	44807877	44808096	0	0	0	39	37	24	46	50	38	14	21	8	42	34	6	24	20	20
15	18545624	18546471	8	13	0	103	95	91	65	72	99	8	9	7	75	86	26	8	18	4
15	18696151	18696282	0	0	1	18	23	31	20	11	23	0	2	0	16	13	2	0	1	2
14	18023821	18023899	0	1	0	16	34	32	38	20	27	2	6	2	30	18	26	0	6	4
7	58564384	58564650	0	2	4	38	35	43	33	24	28	3	0	0	25	20	6	8	4	2
7	60628282	60628463	4	0	0	24	20	26	12	12	26	2	0	0	18	22	8	1	2	0
7	58561973	58562092	0	8	6	32	31	20	24	40	22	2	4	1	20	40	10	0	2	0
4	50242811	50243134	0	0	4	46	74	70	50	50	62	6	18	6	34	55	18	24	19	25
Y	56721145	56721573	479	462	403	22	18	10	328	358	391	641	918	533	432	345	501	807	706	663
11	52300501	52300703	0	1	2	94	58	82	49	74	77	26	26	25	65	79	18	20	19	26
7	59954329	59954675	5	2	2	105	94	120	80	90	70	12	14	4	88	64	40	6	12	8
15	18694561	18694935	0	4	0	45	23	22	40	43	37	6	4	2	43	49	27	6	2	4
1	124113894	124114098	0	0	1	51	36	65	26	38	57	6	10	9	28	33	4	12	3	12
7	59496007	59496313	0	2	0	47	28	43	18	32	25	2	2	6	26	16	16	8	4	0
15	19042898	19043063	0	0	0	13	16	15	10	10	31	0	2	2	23	14	4	0	0	0
15	19685235	19685764	2	0	1	14	10	13	60	54	34	49	65	54	66	47	14	56	60	78
9	43918775	43918922	2	4	6	232	156	178	184	190	169	70	113	54	201	194	58	74	66	68
X	56783509	56783700	4	0	0	26	63	35	19	9	14	8	2	2	39	19	24	4	2	0
11	53700631	53700943	5	0	3	54	71	48	46	40	38	4	8	6	40	40	0	17	22	16
11	53757155	53757600	12	0	2	124	104	141	96	111	116	48	39	37	111	90	58	47	34	38
10	40922654	40922848	22	18	28	4	0	0	0	2	0	9	13	8	0	0	0	13	2	19
X	145266040	145266276	4	0	0	20	6	23	15	0	18	2	6	0	17	16	60	4	0	3
10	41502818	41503034	1	0	0	53	45	44	27	49	57	12	32	13	53	41	10	24	28	23
7	60033101	60033223	2	0	0	28	23	18	14	28	16	0	4	3	22	17	8	4	0	0
Y	26648363	26648562	67	34	37	0	2	0	16	15	16	61	51	47	17	18	41	43	59	49
9	60552932	60553207	2	8	4	248	158	210	181	186	188	64	65	46	212	193	84	78	54	72
11	53341850	53342020	0	2	0	39	14	46	35	34	27	0	8	4	30	34	6	8	12	5
10	40584647	40585211	50	44	39	6	0	0	6	2	11	20	42	22	16	4	0	16	20	19
11	51400531	51400706	0	0	0	33	34	29	30	49	42	18	10	6	38	42	12	8	18	12
7	59497009	59497298	0	0	0	26	19	18	21	23	24	0	4	2	36	23	10	5	2	4
Y	13751338	13751838	14	17	6	0	0	0	16	9	12	55	46	62	12	8	30	24	23	40
Y	56749732	56749948	276	278	212	14	4	12	152	196	164	344	466	282	202	218	296	388	399	382
4	50983985	50984193	0	3	0	43	34	44	25	22	21	4	6	2	24	28	0	6	18	12
13	17502270	17502446	4	2	0	44	32	30	35	44	34	4	2	4	51	51	26	4	2	2
4	50396374	50396748	8	8	4	318	296	282	228	252	286	88	114	74	262	270	44	103	110	70
13	17480989	17481291	59	57	66	0	2	4	6	10	18	33	31	26	8	14	0	36	31	43
5	48448242	48448321	0	2	0	30	20	30	20	26	42	2	12	10	28	20	36	8	4	0
4	51038731	51038994	2	0	2	51	32	40	48	27	56	12	11	0	43	48	16	14	12	24
22	13691974	13692246	0	2	0	60	47	59	30	54	40	16	28	14	62	54	32	18	20	12
4	49902681	49902826	0	0	0	32	23	36	24	22	26	6	12	14	21	19	4	8	5	0
4	51605070	51605466	0	4	10	139	107	109	87	102	127	40	39	18	128	96	20	30	63	42
4	8620627	8620921	4	5	0	78	98	83	36	72	58	13	9	8	50	53	88	12	16	4
22	14690516	14690637	45	56	32	0	2	0	7	4	6	38	37	19	4	4	4	44	28	30
7	60671227	60671470	4	2	0	50	33	42	29	35	33	3	4	2	30	28	18	6	4	0
11	52601059	52601134	0	0	0	16	32	42	38	44	42	8	12	16	28	36	30	8	14	8
4	49803482	49803851	4	0	0	59	32	55	64	62	83	15	27	22	48	47	12	30	20	16
9	45457667	45457837	0	2	2	90	54	50	52	66	67	12	40	8	72	63	8	22	20	26
11	52561046	52561222	0	0	0	30	20	18	15	32	23	8	6	2	40	18	12	0	8	6
Y	26649028	26649242	30	30	22	0	0	0	10	16	12	46	28	18	12	16	36	30	54	39
21	37435182	37435440	0	4	4	43	36	56	79	94	95	63	66	75	77	62	226	39	29	46
X	56778167	56779364	24	28	12	552	729	729	387	457	467	59	76	86	431	358	654	102	103	50
Y	11588544	11588973	28	21	27	0	0	0	13	17	18	37	34	23	16	16	2	35	31	32
Y	14340821	14341096	9	4	10	0	0	0	19	17	19	46	40	34	4	2	14	30	20	32
X	115850122	115850491	8	15	12	244	323	290	132	145	183	14	38	6	141	134	272	40	32	31
7	59298075	59298311	0	0	2	22	19	39	15	23	13	0	3	0	22	16	2	2	4	1
X	131728302	131729097	4	8	16	104	133	151	104	114	143	8	12	4	94	69	140	14	12	10
X	126731787	126731848	4	0	2	4	5	8	42	32	32	80	66	75	39	34	52	56	54	32
7	59805201	59805318	0	0	0	18	15	19	14	16	15	3	0	0	18	14	0	2	2	1
10	40213410	40213590	0	2	2	72	38	72	66	64	83	32	55	27	80	66	24	46	47	46
19	25864703	25864850	0	0	0	42	35	22	18	28	46	2	10	10	30	26	12	14	8	4
11	53462777	53462912	0	0	0	33	38	34	38	34	38	10	10	18	30	20	6	4	15	14
22	14505349	14505516	4	0	2	36	40	46	48	39	32	4	4	2	37	35	32	7	1	6
11	52673806	52674106	0	0	8	61	50	62	53	52	55	12	15	26	53	47	6	29	16	12
10	40146784	40146894	1	0	0	2	0	0	16	22	14	18	22	10	16	12	10	28	22	18
1	122848898	122849124	116	104	111	6	5	13	9	5	2	42	55	54	10	8	2	54	63	83
7	58663364	58663633	0	1	0	19	8	8	15	37	14	0	4	0	12	17	8	0	0	4
X	34657291	34657487	0	0	0	24	22	27	35	22	33	18	15	45	37	11	52	10	21	16
7	58892784	58893267	2	8	4	136	100	139	95	107	87	6	6	15	102	72	40	12	17	19
X	115737590	115737669	4	0	0	42	58	38	22	18	12	6	6	2	16	14	82	4	2	4
15	19047457	19047694	2	5	2	21	21	24	17	27	25	1	0	0	30	30	6	0	2	9
9	63327523	63327760	4	0	0	44	16	39	16	16	23	10	1	2	22	16	24	0	3	4
7	60392676	60392856	2	1	2	33	33	28	12	27	20	0	4	6	21	23	0	0	14	5
4	50023596	50023776	0	0	1	44	18	32	31	22	23	7	6	4	24	28	0	8	4	8
4	50111327	50111935	8	14	6	368	311	340	278	296	291	88	140	62	313	321	40	136	112	90
Y	9356325	9356615	24	30	16	0	0	0	16	13	13	16	29	39	14	15	33	42	27	56
Y	19744701	19744991	12	3	2	0	0	0	5	12	20	44	35	36	4	5	13	29	20	27
4	50845197	50845429	1	0	0	36	18	42	16	17	36	7	16	0	28	34	8	10	10	8
Y	56731944	56732457	519	488	367	18	14	24	382	344	358	568	796	525	397	361	481	831	788	699
4	51063362	51064227	0	6	6	132	92	104	96	116	109	38	36	34	126	110	40	48	38	35
4	189835730	189837505	42	25	22	184	224	205	517	480	566	575	777	608	538	555	3503	794	676	568
7	59006776	59007002	0	0	2	44	33	33	32	25	19	12	0	12	21	34	15	8	6	7
7	58646153	58646472	0	2	0	34	41	47	20	38	33	2	2	4	26	23	12	6	4	5
7	58589673	58589833	0	0	0	26	24	34	16	13	16	1	4	0	18	16	14	7	4	2
13	17232787	17233006	4	0	2	32	17	19	22	7	24	0	4	0	10	41	4	0	2	2
